"ASV","TrueSignal","Z_Raw","Z_Smoothed","P_Raw","P_Smoothed","Sig_Raw","Sig_Smoothed","Z_Change","P_Log_Ratio"
"ASV078",FALSE,-0.817024467469497,-0.487981254875144,0.414896421416436,0.625563118625305,FALSE,FALSE,0.329043212594353,-0.178331447123607
"ASV091",FALSE,-0.309429277432891,-0.152696355930798,0.757320387828917,0.878637734611061,FALSE,FALSE,0.156732921502094,-0.0645302022268554
"ASV020",FALSE,-1.20551041998161,-0.745644461846271,0.229445008270001,0.455882216852852,FALSE,FALSE,0.459865958135339,-0.298174037718222
"ASV046",FALSE,-0.63456642131532,-0.360344109330107,0.526443754856465,0.718589817251645,FALSE,FALSE,0.274222311985213,-0.135129080693568
"ASV017",FALSE,1.61068842693489,1.12665471063265,0.108840657610052,0.259888497760288,FALSE,FALSE,-0.484033716302243,-0.377995901660969
"ASV053",FALSE,-0.250261180863734,-0.106700215729485,0.802644853266674,0.915026811457611,FALSE,FALSE,0.143560965134249,-0.0569103943892706
"ASV075",FALSE,-1.00787254336133,-0.608754865018368,0.314745746750406,0.542686934637997,FALSE,FALSE,0.399117678342967,-0.236589495852802
"ASV074",FALSE,1.06374701790522,0.767320972680251,0.288738903335535,0.442890701923525,FALSE,FALSE,-0.296426045224964,-0.185791260133998
"ASV063",FALSE,1.07076382682621,0.773178896596586,0.28557912595063,0.439416513706012,FALSE,FALSE,-0.297584930229624,-0.187149914054444
"ASV070",FALSE,-0.988230272134399,-0.589648072787566,0.32424597924036,0.555426615292565,FALSE,FALSE,0.398582199346833,-0.233752087326079
"ASV015",FALSE,0.740700550539839,0.554747138743164,0.459752504872158,0.579067628556626,FALSE,FALSE,-0.185953411796675,-0.100205183292604
"ASV024",FALSE,0.145925369006763,0.160771007465225,0.884128758592864,0.872273760843357,FALSE,FALSE,0.0148456384584622,0.00586270884380803
"ASV066",FALSE,0.132389535852222,0.151718905879053,0.894810631229302,0.879408645061565,FALSE,FALSE,0.0193293700268305,0.00754040464650954
"ASV043",FALSE,0.398190539206789,0.328401669099612,0.690918760721377,0.742607981151716,FALSE,FALSE,-0.0697888701071769,-0.0313326271085841
"ASV007",FALSE,1.2223581752987,0.874090905144086,0.223025305547733,0.38206875002382,FALSE,FALSE,-0.348267270154613,-0.233787374512647
"ASV029",FALSE,0.686627831267741,0.517353860559093,0.493120621490432,0.604909161972265,FALSE,FALSE,-0.169273970708648,-0.0887369980051175
"ASV048",FALSE,-0.723720409002621,-0.416680542284291,0.470091567158368,0.676912088415735,FALSE,FALSE,0.30703986671833,-0.158349809303705
